init_eps,min_eps,decay,alpha,gamma,rolling_mean,total_mean,total_std,percent_above_1.5,last_10_mean,last_10_std,rounds_to_stabilize
0.2,0.1,0.9,0.01,0.9,[1.01 1.01 1.01 ... 1.17 1.17 1.17],1.1441,0.8746057340310547,0.0481,1.146,0.8812967718084527,
0.2,0.1,0.9,0.01,0.99,[1.18 1.18 1.19 ... 1.23 1.23 1.23],1.1436,0.8827111871954495,0.0485,1.13,0.8397023282092291,
0.2,0.1,0.9,0.001,0.0,[1.11 1.11 1.12 ... 1.13 1.13 1.13],1.128,0.840842434704624,0.0439,1.157,0.9046275476680997,
0.2,0.1,0.9,0.001,0.9,[1.03 1.03 1.03 ... 1.1  1.1  1.1 ],1.1421,0.8851596409687915,0.0489,1.077,0.7583343589736653,
0.2,0.1,0.9,0.001,0.99,[1.08 1.08 1.08 ... 1.17 1.13 1.13],1.141,0.8657476537652297,0.0472,1.171,0.9368879335331413,
0.2,0.1,0.5,0.1,0.0,[1.2  1.2  1.2  ... 1.25 1.25 1.25],1.144,0.8817391904639375,0.0497,1.098,0.8187771369548614,
0.2,0.1,0.5,0.1,0.9,[1.3  1.34 1.35 ... 1.02 1.02 1.02],1.1356,0.8786424984030762,0.0477,1.114,0.8105578326066563,
0.2,0.1,0.5,0.1,0.99,[1.22 1.22 1.22 ... 1.1  1.1  1.1 ],1.1575,0.9196160883760136,0.0542,1.22,1.0283968105745953,
0.2,0.1,0.5,0.01,0.0,[1.1  1.1  1.1  ... 1.16 1.16 1.16],1.1373,0.8729540136799878,0.0478,1.139,0.856550640651211,
0.2,0.1,0.5,0.01,0.9,[1.07 1.07 1.07 ... 1.02 1.02 1.02],1.1552,0.9107760207647103,0.0531,1.123,0.8449088708257241,
0.2,0.1,0.5,0.01,0.99,[1.24 1.23 1.23 ... 1.12 1.12 1.12],1.1378,0.870293720533476,0.0476,1.122,0.8167716939267667,
0.2,0.1,0.5,0.001,0.0,[1.34 1.34 1.34 ... 1.12 1.12 1.12],1.1676,0.9308653178629013,0.055,1.153,0.903100769571148,
0.2,0.1,0.5,0.001,0.9,[1.1  1.1  1.1  ... 1.21 1.21 1.21],1.1593,0.9106720101112145,0.0528,1.176,0.9300666642773517,
0.2,0.1,0.5,0.001,0.99,[1.06 1.05 1.05 ... 1.1  1.1  1.1 ],1.1434,0.8850064632532352,0.0496,1.12,0.8435638683585256,
0.2,0.01,0.995,0.1,0.0,[1.12 1.12 1.12 ... 1.   1.   1.  ],1.0137,0.3035000988467714,0.0053,0.999,0.20248209797411726,
0.2,0.01,0.995,0.1,0.9,[1.03 1.03 1.04 ... 1.04 1.04 1.04],1.015,0.30426140077242797,0.0056,1.011,0.26244809010545306,
0.2,0.01,0.995,0.1,0.99,[1.24 1.24 1.28 ... 1.06 1.06 1.06],1.0161,0.3197511376054822,0.006,1.021,0.34432397534879855,
0.2,0.01,0.995,0.01,0.0,[1.15 1.15 1.15 ... 0.97 0.97 0.97],1.0217,0.35472399129464033,0.0074,0.999,0.20248209797411723,
0.2,0.01,0.995,0.01,0.9,[1.14 1.14 1.14 ... 1.   1.   1.  ],1.0102,0.27621723335085374,0.0044,1.014,0.2565229034608801,
0.2,0.01,0.995,0.01,0.99,[1.19 1.19 1.19 ... 1.   1.   1.  ],1.0126,0.29161831218220846,0.0051,1.004,0.23660938273872403,
0.2,0.01,0.995,0.001,0.0,[1.09 1.09 1.09 ... 1.   1.   1.  ],1.0271,0.39263926191862164,0.0091,1.026,0.36513559125344114,
0.2,0.01,0.995,0.001,0.9,[1.49 1.49 1.49 ... 0.99 0.99 0.99],1.0234,0.34821321054779064,0.0074,1.012,0.260491842482639,
0.2,0.01,0.995,0.001,0.99,[1.15 1.15 1.15 ... 0.99 0.99 0.99],1.0194,0.319724318749763,0.0061,1.016,0.2893855559629748,
